trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.01, 'e': 0.5899999999999996}",25,15,-4.382544416196223,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
83,False,"{'a': 0.01, 'e': 0.5849999999999996}",30,0,-69.35139407927838,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
84,False,"{'a': 0.01, 'e': 0.5799999999999996}",20,0,-96.31088519237014,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
85,False,"{'a': 0.01, 'e': 0.5749999999999996}",20,0,-42.575418174986154,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.5699999999999996}",20,8,-11.432630871514931,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.5649999999999996}",20,0,-86.38634570396522,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
88,False,"{'a': 0.01, 'e': 0.5599999999999996}",20,0,-76.31402874276561,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",1
89,False,"{'a': 0.01, 'e': 0.5549999999999996}",30,22,16.87390630869486,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.5499999999999996}",30,0,-78.21196268366218,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.5449999999999996}",20,0,-68.49395111780049,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.5399999999999996}",20,0,-58.99177982932305,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.5349999999999996}",25,9,15.598580246479562,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.5299999999999996}",25,0,-106.17547777088913,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 3}",0
95,False,"{'a': 0.01, 'e': 0.5249999999999996}",20,2,-45.443454828730815,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
96,False,"{'a': 0.01, 'e': 0.5199999999999996}",25,13,-21.905426335721344,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.5149999999999996}",20,0,-45.17198265721622,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
98,False,"{'a': 0.01, 'e': 0.5099999999999996}",20,14,10.579706047515206,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.5049999999999996}",20,6,-16.355282298772266,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.49999999999999956}",25,13,-14.059287751735397,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.49499999999999955}",20,2,-8.757844784518886,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.48999999999999955}",20,9,-41.567023309628595,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
103,False,"{'a': 0.01, 'e': 0.48499999999999954}",20,0,-42.29100491140911,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
104,False,"{'a': 0.01, 'e': 0.47999999999999954}",20,0,-9.180282813902355,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
105,False,"{'a': 0.01, 'e': 0.47499999999999953}",20,4,12.189608625406937,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.46999999999999953}",20,0,-72.91928415482779,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
107,False,"{'a': 0.01, 'e': 0.4649999999999995}",20,13,-6.402866627379607,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.4599999999999995}",20,0,-3.438506800776823,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4549999999999995}",30,6,-23.204751379960406,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4499999999999995}",30,21,13.96039514871374,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.4449999999999995}",20,0,-99.11082826427501,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
112,False,"{'a': 0.01, 'e': 0.4399999999999995}",20,2,-46.38398823327648,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
113,False,"{'a': 0.01, 'e': 0.4349999999999995}",20,10,7.502673578941812,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.4299999999999995}",25,16,12.050921220787782,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.4249999999999995}",30,9,-51.70745046990766,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.4199999999999995}",30,16,-2.5455592335207604,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
